_________________________________
ℐ₁ : ℐ₂ : ℐ₃ | 61:21:11
V=3.2
𝛾=15
_________________________________
### RMS=0.385233 [keV] ###
_________________________________
TSD1
I   E(EXP)  E(TH)
8.5 0.1966 0.16908
10.5 0.4597 0.403662
12.5 0.7746 0.703786
14.5 1.1609 1.06946
16.5 1.6112 1.50069
18.5 2.1265 1.99746
20.5 2.7051 2.55978
22.5 3.3441 3.18764
24.5 4.0411 3.88103
26.5 4.7937 4.63995
28.5 5.5992 5.4644
30.5 6.457 6.35438
32.5 7.3667 7.30989
34.5 8.3293 8.33093
36.5 9.3458 9.41749
38.5 10.4169 10.5696
40.5 11.5431 11.7872
42.5 12.7224 13.0704
44.5 13.9491 14.419
46.5 15.2181 15.8332
48.5 16.5221 17.313
TSD2
I   E(EXP)  E(TH)
13.5 1.3394 0.87843
15.5 1.7467 1.27688
17.5 2.2184 1.74088
19.5 2.7527 2.27043
21.5 3.3484 2.86552
23.5 4.003 3.52614
25.5 4.7143 4.2523
27.5 5.4805 5.04398
29.5 6.3004 5.9012
31.5 7.1733 6.82394
33.5 8.0998 7.81222
35.5 9.08 8.86602
37.5 10.1147 9.98534
39.5 11.2036 11.1702
41.5 12.3466 12.4206
43.5 13.5441 13.7365
45.5 14.7911 15.1179
TSD3
I   E(EXP)  E(TH)
16.5 2.1237 1.79975
18.5 2.6293 2.31631
20.5 3.1973 2.89777
22.5 3.8243 3.54414
24.5 4.5094 4.25541
26.5 5.2506 5.0316
28.5 6.0465 5.87273
30.5 6.8963 6.7788
32.5 7.7988 7.74983
34.5 8.7546 8.78584
36.5 9.7638 9.88685
38.5 10.8268 11.0529
40.5 11.9392 12.2839
42.5 13.0861 13.5801
TSD4
I  E(EXP) | E(TH) [1,0]
23.5 4.58 3.89166
25.5 5.2251 4.63539
27.5 5.9273 5.44405
29.5 6.6819 6.31764
31.5 7.4919 7.25619
33.5 8.3573 8.25971
35.5 9.2778 9.32822
37.5 10.2535 10.4617
39.5 11.2851 11.6603
41.5 12.3701 12.9239
