################ Iteration:1##################
I1= 71
I2= 21
I3= 6
V= 2.01
gamma= 15
E_RMS= 0.160297
Theoretical dataset:
0.224381 , 0.504787 , 0.841334 , 1.23407 , 1.68301 , 2.18816 , 2.74955 , 3.36717 , 4.04102 , 4.77112 , 5.55746 , 6.40006 , 7.29891 , 8.25402 , 9.2654 , 10.333 , 11.457 , 12.6372 , 13.8736 , 15.1664 , 16.5154 , 1.23397 , 1.67062 , 2.16226 , 2.70904 , 3.31108 , 3.9685 , 4.68139 , 5.44982 , 6.27386 , 7.15357 , 8.08901 , 9.08023 , 10.1273 , 11.2302 , 12.389 , 13.6037 , 14.8744 , 2.10718 , 2.64151 , 3.22991 , 3.87262 , 4.56984 , 5.32176 , 6.12851 , 6.99025 , 7.90708 , 8.87911 , 9.90644 , 10.9892 , 12.1273 , 13.321 , 3.9685 , 4.68139 , 5.44982 , 6.27386 , 7.15357 , 8.08901 , 9.08023 , 10.1273 , 11.2302 , 12.389 , 
################ Iteration:2##################
I1= 71
I2= 21
I3= 6
V= 2.01
gamma= 16
E_RMS= 0.1609
Theoretical dataset:
0.224267 , 0.504546 , 0.840957 , 1.23355 , 1.68235 , 2.18737 , 2.74861 , 3.3661 , 4.03982 , 4.7698 , 5.55602 , 6.3985 , 7.29725 , 8.25226 , 9.26354 , 10.3311 , 11.4549 , 12.635 , 13.8714 , 15.1641 , 16.5131 , 1.24341 , 1.68091 , 2.17325 , 2.72063 , 3.32318 , 3.98103 , 4.69427 , 5.46301 , 6.28731 , 7.16725 , 8.10288 , 9.09427 , 10.1414 , 11.2445 , 12.4034 , 13.6182 , 14.889 , 2.12826 , 2.66415 , 3.25389 , 3.89774 , 4.59595 , 5.34872 , 6.15622 , 7.0186 , 7.93599 , 8.90851 , 9.93627 , 11.0194 , 12.1579 , 13.3518 , 3.98103 , 4.69427 , 5.46301 , 6.28731 , 7.16725 , 8.10288 , 9.09427 , 10.1414 , 11.2445 , 12.4034 , 
################ Iteration:3##################
I1= 71
I2= 21
I3= 6
V= 1.91
gamma= 17
E_RMS= 0.160501
Theoretical dataset:
0.224155 , 0.50431 , 0.840586 , 1.23304 , 1.68169 , 2.18656 , 2.74767 , 3.36501 , 4.03859 , 4.76842 , 5.55451 , 6.39686 , 7.29547 , 8.25035 , 9.26151 , 10.3289 , 11.4526 , 12.6326 , 13.8689 , 15.1615 , 16.5103 , 1.23701 , 1.67356 , 2.16498 , 2.71146 , 3.31314 , 3.97015 , 4.68259 , 5.45055 , 6.27411 , 7.15333 , 8.08828 , 9.07901 , 10.1256 , 11.228 , 12.3863 , 13.6006 , 14.8708 , 2.11408 , 2.64827 , 3.23635 , 3.87861 , 4.57529 , 5.32659 , 6.13268 , 6.99371 , 7.90981 , 8.8811 , 9.90767 , 10.9896 , 12.127 , 13.32 , 3.97015 , 4.68259 , 5.45055 , 6.27411 , 7.15333 , 8.08828 , 9.07901 , 10.1256 , 11.228 , 12.3863 , 
################ Iteration:4##################
I1= 71
I2= 21
I3= 6
V= 1.91
gamma= 18
E_RMS= 0.161089
Theoretical dataset:
0.224046 , 0.504086 , 0.840243 , 1.23257 , 1.6811 , 2.18586 , 2.74684 , 3.36407 , 4.03754 , 4.76727 , 5.55326 , 6.39551 , 7.29403 , 8.24882 , 9.25989 , 10.3272 , 11.4509 , 12.6308 , 13.867 , 15.1595 , 16.5083 , 1.24525 , 1.68257 , 2.17465 , 2.72169 , 3.32385 , 3.98127 , 4.69406 , 5.46233 , 6.28615 , 7.16559 , 8.10074 , 9.09163 , 10.1383 , 11.2409 , 12.3993 , 13.6137 , 14.884 , 2.13257 , 2.66819 , 3.25752 , 3.90086 , 4.59847 , 5.35058 , 6.15738 , 7.01903 , 7.93568 , 8.90744 , 9.93444 , 11.0168 , 12.1545 , 13.3477 , 3.98127 , 4.69406 , 5.46233 , 6.28615 , 7.16559 , 8.10074 , 9.09163 , 10.1383 , 11.2409 , 12.3993 , 
################ Iteration:5##################
I1= 71
I2= 21
I3= 6
V= 1.81
gamma= 19
E_RMS= 0.160841
Theoretical dataset:
0.223946 , 0.503877 , 0.839916 , 1.23212 , 1.68053 , 2.18516 , 2.74602 , 3.36312 , 4.03648 , 4.76608 , 5.55195 , 6.39409 , 7.2925 , 8.24718 , 9.25814 , 10.3254 , 11.4489 , 12.6287 , 13.8648 , 15.1573 , 16.506 , 1.2369 , 1.67309 , 2.16409 , 2.7101 , 3.31128 , 3.96776 , 4.67967 , 5.44709 , 6.2701 , 7.14879 , 8.0832 , 9.0734 , 10.1194 , 11.2213 , 12.3792 , 13.593 , 14.8627 , 2.11406 , 2.64764 , 3.23503 , 3.87653 , 4.5724 , 5.32286 , 6.12809 , 6.98825 , 7.90348 , 8.87391 , 9.89962 , 10.9807 , 12.1173 , 13.3094 , 3.96776 , 4.67967 , 5.44709 , 6.2701 , 7.14879 , 8.0832 , 9.0734 , 10.1194 , 11.2213 , 12.3792 , 
################ Iteration:6##################
I1= 71
I2= 21
I3= 6
V= 1.81
gamma= 20
E_RMS= 0.161032
Theoretical dataset:
0.223844 , 0.503668 , 0.839601 , 1.2317 , 1.68 , 2.18453 , 2.74529 , 3.36229 , 4.03555 , 4.76507 , 5.55085 , 6.3929 , 7.29123 , 8.24583 , 9.25672 , 10.3239 , 11.4474 , 12.6271 , 13.8632 , 15.1555 , 16.5042 , 1.24413 , 1.68102 , 2.17262 , 2.71915 , 3.32078 , 3.97765 , 4.68988 , 5.45759 , 6.28085 , 7.15975 , 8.09435 , 9.08472 , 10.1309 , 11.2329 , 12.3909 , 13.6047 , 14.8746 , 2.13035 , 2.66524 , 3.25377 , 3.89626 , 4.593 , 5.34422 , 6.15011 , 7.01085 , 7.9266 , 8.89748 , 9.9236 , 11.0051 , 12.142 , 13.3344 , 3.97765 , 4.68988 , 5.45759 , 6.28085 , 7.15975 , 8.09435 , 9.08472 , 10.1309 , 11.2329 , 12.3909 , 
################ Iteration:7##################
I1= 71
I2= 21
I3= 6
V= 1.71
gamma= 21
E_RMS= 0.16162
Theoretical dataset:
0.223755 , 0.503483 , 0.839314 , 1.23131 , 1.6795 , 2.18392 , 2.74457 , 3.36147 , 4.03462 , 4.76403 , 5.54971 , 6.39166 , 7.28989 , 8.2444 , 9.2552 , 10.3223 , 11.4457 , 12.6253 , 13.8613 , 15.1536 , 16.5021 , 1.23396 , 1.66955 , 2.15992 , 2.70528 , 3.30582 , 3.96166 , 4.67292 , 5.43971 , 6.26211 , 7.14019 , 8.07402 , 9.06365 , 10.1091 , 11.2105 , 12.3678 , 13.5811 , 14.8504 , 2.10778 , 2.64033 , 3.22664 , 3.86706 , 4.56184 , 5.31122 , 6.11539 , 6.9745 , 7.88872 , 8.85814 , 9.88289 , 10.9631 , 12.0987 , 13.29 , 3.96166 , 4.67292 , 5.43971 , 6.26211 , 7.14019 , 8.07402 , 9.06365 , 10.1091 , 11.2105 , 12.3678 , 
################ Iteration:8##################
I1= 71
I2= 21
I3= 6
V= 1.71
gamma= 22
E_RMS= 0.161183
Theoretical dataset:
0.223658 , 0.503289 , 0.839022 , 1.23092 , 1.67902 , 2.18335 , 2.74391 , 3.36072 , 4.03379 , 4.76312 , 5.54873 , 6.3906 , 7.28876 , 8.24321 , 9.25394 , 10.321 , 11.4443 , 12.6239 , 13.8598 , 15.152 , 16.5005 , 1.24033 , 1.67655 , 2.16747 , 2.7133 , 3.31424 , 3.97043 , 4.682 , 5.44906 , 6.27168 , 7.14997 , 8.08397 , 9.07375 , 10.1194 , 11.2209 , 12.3783 , 13.5916 , 14.861 , 2.12218 , 2.65591 , 3.24326 , 3.88457 , 4.58015 , 5.33022 , 6.13499 , 6.99464 , 7.90933 , 8.87918 , 9.9043 , 10.9848 , 12.1208 , 13.3123 , 3.97043 , 4.682 , 5.44906 , 6.27168 , 7.14997 , 8.08397 , 9.07375 , 10.1194 , 11.2209 , 12.3783 , 
################ Iteration:9##################
I1= 71
I2= 21
I3= 6
V= 1.71
gamma= 23
E_RMS= 0.161492
Theoretical dataset:
0.223562 , 0.503099 , 0.838739 , 1.23055 , 1.67856 , 2.18279 , 2.74327 , 3.36 , 4.03299 , 4.76225 , 5.54778 , 6.38959 , 7.28769 , 8.24207 , 9.25274 , 10.3197 , 11.443 , 12.6225 , 13.8584 , 15.1506 , 16.499 , 1.24638 , 1.68322 , 2.17467 , 2.72097 , 3.32232 , 3.97886 , 4.69074 , 5.45807 , 6.28093 , 7.15942 , 8.0936 , 9.08355 , 10.1293 , 11.2309 , 12.3884 , 13.6019 , 14.8713 , 2.13589 , 2.67079 , 3.25915 , 3.90137 , 4.59773 , 5.34849 , 6.15388 , 7.01408 , 7.92924 , 8.89952 , 9.92502 , 11.0059 , 12.1421 , 13.3339 , 3.97886 , 4.69074 , 5.45807 , 6.28093 , 7.15942 , 8.0936 , 9.08355 , 10.1293 , 11.2309 , 12.3884 , 
################ Iteration:10##################
I1= 71
I2= 21
I3= 6
V= 1.61
gamma= 24
E_RMS= 0.162311
Theoretical dataset:
0.223488 , 0.502944 , 0.8385 , 1.23022 , 1.67814 , 2.18229 , 2.74268 , 3.35932 , 4.03223 , 4.7614 , 5.54685 , 6.38857 , 7.28659 , 8.24089 , 9.25148 , 10.3184 , 11.4416 , 12.6211 , 13.8568 , 15.1489 , 16.4973 , 1.23404 , 1.66936 , 2.15938 , 2.70435 , 3.30446 , 3.95984 , 4.67064 , 5.43694 , 6.25886 , 7.13645 , 8.06979 , 9.05894 , 10.104 , 11.2049 , 12.3617 , 13.5745 , 14.8434 , 2.10849 , 2.64062 , 3.22642 , 3.86623 , 4.56036 , 5.30905 , 6.11249 , 6.97087 , 7.88433 , 8.853 , 9.877 , 10.9564 , 12.0914 , 13.2819 , 3.95984 , 4.67064 , 5.43694 , 6.25886 , 7.13645 , 8.06979 , 9.05894 , 10.104 , 11.2049 , 12.3617 , 
################ Iteration:11##################
I1= 71
I2= 21
I3= 6
V= 1.61
gamma= 25
E_RMS= 0.161743
Theoretical dataset:
0.223397 , 0.502766 , 0.838236 , 1.22987 , 1.67772 , 2.18179 , 2.7421 , 3.35867 , 4.0315 , 4.76061 , 5.54599 , 6.38766 , 7.28562 , 8.23986 , 9.2504 , 10.3172 , 11.4404 , 12.6198 , 13.8556 , 15.1476 , 16.496 , 1.23939 , 1.67525 , 2.16576 , 2.71115 , 3.31161 , 3.96731 , 4.67838 , 5.44493 , 6.26706 , 7.14484 , 8.07834 , 9.06764 , 10.1128 , 11.2138 , 12.3707 , 13.5837 , 14.8526 , 2.12063 , 2.6538 , 3.24051 , 3.88112 , 4.57596 , 5.32526 , 6.12925 , 6.98812 , 7.90201 , 8.87107 , 9.89541 , 10.9751 , 12.1103 , 13.3011 , 3.96731 , 4.67838 , 5.44493 , 6.26706 , 7.14484 , 8.07834 , 9.06764 , 10.1128 , 11.2138 , 12.3707 , 
