I1= 71
I2= 6
I3= 16
V= 1.26
gamma= 17
E_RMS= 0.230103
Theoretical dataset:
0.239773,0.53694,0.891148,1.30217,1.76987,2.29414,2.87492,3.51215,4.20582,4.95588,5.76232,6.62514,7.54431,8.51984,9.55171,10.6399,11.7845,12.9854,14.2426,15.5561,16.926,1.1397,1.58704,2.0906,2.65028,3.26602,3.93778,4.66556,5.44936,6.2892,7.18508,8.13703,9.14505,10.2092,11.3294,12.5057,13.7382,15.0269,1.8719,2.41133,3.00642,3.65711,4.3634,5.1253,5.94285,6.81608,7.74503,8.72974,9.77026,10.8666,12.0189,13.227,3.85193,4.5738,5.35205,6.18669,7.07768,8.02503,9.02873,10.0888,11.2052,12.3779,
##########################
I1= 71
I2= 6
I3= 16
V= 1.26
gamma= 18
E_RMS= 0.22893
Theoretical dataset:
0.239824,0.536976,0.891135,1.3021,1.76972,2.29392,2.87462,3.51178,4.20538,4.95537,5.76176,6.62451,7.54363,8.51911,9.55093,10.6391,11.7836,12.9845,14.2416,15.5552,16.925,1.14888,1.5965,2.10026,2.66008,3.27592,3.94775,4.67558,5.45942,6.29928,7.19518,8.14713,9.15515,10.2193,11.3395,12.5158,13.7483,15.0369,1.8909,2.4308,3.02625,3.67722,4.38372,5.14579,5.96347,6.8368,7.76584,8.75062,9.79119,10.8876,12.0399,13.248,3.85153,4.57333,5.35152,6.18609,7.07703,8.02432,9.02797,10.088,11.2043,12.377,
##########################
I1= 71
I2= 6
I3= 16
V= 1.26
gamma= 19
E_RMS= 0.228317
Theoretical dataset:
0.239887,0.53704,0.891166,1.30208,1.76964,2.29378,2.87442,3.51152,4.20505,4.95499,5.76132,6.62402,7.54309,8.51851,9.55029,10.6384,11.7829,12.9837,14.2408,15.5543,16.9242,1.15769,1.60561,2.10961,2.6696,3.28557,3.9575,4.6854,5.46929,6.30919,7.20511,8.15708,9.16511,10.2292,11.3494,12.5258,13.7582,15.0469,1.90915,2.44957,3.04543,3.69672,4.40347,5.16575,5.98359,6.85706,7.7862,8.77106,9.8117,10.9082,12.0605,13.2687,3.85123,4.57297,5.35111,6.18562,7.07651,8.02376,9.02736,10.0873,11.2036,12.3762,
##########################
I1= 71
I2= 6
I3= 16
V= 1.26
gamma= 20
E_RMS= 0.228225
Theoretical dataset:
0.239958,0.537124,0.891231,1.3021,1.76962,2.2937,2.87429,3.51134,4.20482,4.9547,5.76098,6.62364,7.54266,8.51804,9.54978,10.6379,11.7823,12.9831,14.2402,15.5536,16.9234,1.16613,1.6144,2.11865,2.67884,3.29496,3.967,4.69499,5.47895,6.3189,7.21486,8.16686,9.17491,10.239,11.3593,12.5356,13.7681,15.0567,1.9267,2.46768,3.06398,3.71562,4.42267,5.18517,6.0032,6.87682,7.80609,8.79106,9.83178,10.9283,12.0807,13.2889,3.85102,4.57271,5.35079,6.18526,7.0761,8.0233,9.02686,10.0868,11.203,12.3756,
##########################
I1= 71
I2= 16
I3= 6
V= 1.01
gamma= 21
E_RMS= 0.228409
Theoretical dataset:
0.244763,0.545686,0.902823,1.31619,1.7858,2.31165,2.89375,3.5321,4.22672,4.9776,5.78475,6.64819,7.5679,8.5439,9.57619,10.6648,11.8097,13.0108,14.2683,15.5821,16.9522,1.16379,1.60867,2.10961,2.66663,3.27973,3.94892,4.67422,5.45564,6.29319,7.18689,8.13675,9.14279,10.205,11.3234,12.4981,13.7289,15.016,1.90114,2.43342,3.02161,3.66571,4.36574,5.12172,5.93367,6.80162,7.72559,8.7056,9.74167,10.8338,11.9821,13.1865,3.87238,4.59513,5.37414,6.20944,7.10101,8.04886,9.05301,10.1134,11.2302,12.4032,
##########################
