FORMALISM A 
_________________________________
APPROACH A1 
_________________________________
ℐ₁ : ℐ₂ : ℐ₃ | 77:49:3
V=1.8
𝛾=15
_________________________________
### RMS=0.196485 [keV] ###
_________________________________
TSD1
I   E(EXP)  E(TH)   
8.5 0.1966 0.277372
10.5 0.4597 0.604392
12.5 0.7746 0.981801
14.5 1.1609 1.41003
16.5 1.6112 1.88933
18.5 2.1265 2.41991
20.5 2.7051 3.00187
22.5 3.3441 3.63531
24.5 4.0411 4.32031
26.5 4.7937 5.05691
28.5 5.5992 5.84516
30.5 6.457 6.68509
32.5 7.3667 7.57674
34.5 8.3293 8.52012
36.5 9.3458 9.51525
38.5 10.4169 10.5622
40.5 11.5431 11.6609
42.5 12.7224 12.8114
44.5 13.9491 14.0137
46.5 15.2181 15.2678
48.5 16.5221 16.5738
TSD2
I   E(EXP)  E(TH)   
13.5 1.3394 1.28492
15.5 1.7467 1.74147
17.5 2.2184 2.24861
19.5 2.7527 2.80673
21.5 3.3484 3.41606
23.5 4.003 4.07677
25.5 4.7143 4.78897
27.5 5.4805 5.55273
29.5 6.3004 6.36812
31.5 7.1733 7.23518
33.5 8.0998 8.15394
35.5 9.08 9.12443
37.5 10.1147 10.1467
39.5 11.2036 11.2207
41.5 12.3466 12.3465
43.5 13.5441 13.524
45.5 14.7911 14.7534
TSD3
I   E(EXP)  E(TH)   
16.5 2.1237 2.07291
18.5 2.6293 2.60789
20.5 3.1973 3.19355
22.5 3.8243 3.83025
24.5 4.5094 4.51822
26.5 5.2506 5.25762
28.5 6.0465 6.04855
30.5 6.8963 6.89108
32.5 7.7988 7.78527
34.5 8.7546 8.73115
36.5 9.7638 9.72874
38.5 10.8268 10.7781
40.5 11.9392 11.8792
42.5 13.0861 13.0321
TSD4
I  E(EXP) | E(TH) [0,0] 
23.5 4.58 3.97136
25.5 5.2251 4.68216
27.5 5.9273 5.44458
29.5 6.6819 6.25866
31.5 7.4919 7.12445
33.5 8.3573 8.04196
35.5 9.2778 9.01121
37.5 10.2535 10.0322
39.5 11.2851 11.105
41.5 12.3701 12.2296

_________________________________
APPROACH A2 
_________________________________
ℐ₁ : ℐ₂ : ℐ₃ | 73:3:67
V=5.3
𝛾=25
_________________________________
### RMS=0.142977 [keV] ###
_________________________________
TSD1
I   E(EXP)  E(TH)
8.5 0.1966 0.247647
10.5 0.4597 0.54788
12.5 0.7746 0.901377
14.5 1.1609 1.30854
16.5 1.6112 1.76962
18.5 2.1265 2.28479
20.5 2.7051 2.85419
22.5 3.3441 3.4779
24.5 4.0411 4.156
26.5 4.7937 4.88855
28.5 5.5992 5.67558
30.5 6.457 6.51715
32.5 7.3667 7.41327
34.5 8.3293 8.36397
36.5 9.3458 9.36928
38.5 10.4169 10.4292
40.5 11.5431 11.5438
42.5 12.7224 12.713
44.5 13.9491 13.9369
46.5 15.2181 15.2155
48.5 16.5221 16.5487
TSD2
I   E(EXP)  E(TH)
13.5 1.3394 1.2984
15.5 1.7467 1.74159
17.5 2.2184 2.23702
19.5 2.7527 2.78523
21.5 3.3484 3.38658
23.5 4.003 4.04137
25.5 4.7143 4.7498
27.5 5.4805 5.51205
29.5 6.3004 6.32825
31.5 7.1733 7.1985
33.5 8.0998 8.12291
35.5 9.08 9.10155
37.5 10.1147 10.1345
39.5 11.2036 11.2217
41.5 12.3466 12.3634
43.5 13.5441 13.5595
45.5 14.7911 14.81
TSD3
I   E(EXP)  E(TH)
16.5 2.1237 2.17464
18.5 2.6293 2.70442
20.5 3.1973 3.28566
22.5 3.8243 3.91897
24.5 4.5094 4.60483
26.5 5.2506 5.3436
28.5 6.0465 6.13555
30.5 6.8963 6.98091
32.5 7.7988 7.87986
34.5 8.7546 8.83256
36.5 9.7638 9.83912
38.5 10.8268 10.8997
40.5 11.9392 12.0143
42.5 13.0861 13.183
TSD4
I  E(EXP) | E(TH) [1,0]
23.5 4.58 4.04137
25.5 5.2251 4.7498
27.5 5.9273 5.51205
29.5 6.6819 6.32825
31.5 7.4919 7.1985
33.5 8.3573 8.12291
35.5 9.2778 9.10155
37.5 10.2535 10.1345
39.5 11.2851 11.2217
41.5 12.3701 12.3634

FORMALISM B 
_________________________________
APPROACH B1 
_________________________________
ℐ₁ : ℐ₂ : ℐ₃ | 77:15:5
V=1.3
𝛾=22
_________________________________
### RMS=0.197352 [keV] ###
_________________________________
TSD1
I   E(EXP)  E(TH)   
8.5 0.1966 0.274532
10.5 0.4597 0.600793
12.5 0.7746 0.978855
14.5 1.1609 1.40875
16.5 1.6112 1.8905
18.5 2.1265 2.4241
20.5 2.7051 3.00957
22.5 3.3441 3.64692
24.5 4.0411 4.33614
26.5 4.7937 5.07725
28.5 5.5992 5.87024
30.5 6.457 6.71513
32.5 7.3667 7.61192
34.5 8.3293 8.56061
36.5 9.3458 9.5612
38.5 10.4169 10.6137
40.5 11.5431 11.7181
42.5 12.7224 12.8744
44.5 13.9491 14.0827
46.5 15.2181 15.3428
48.5 16.5221 16.6549
TSD2
I   E(EXP)  E(TH)   
13.5 1.3394 1.18732
15.5 1.7467 1.64314
17.5 2.2184 2.15081
19.5 2.7527 2.71035
21.5 3.3484 3.32176
23.5 4.003 3.98504
25.5 4.7143 4.70021
27.5 5.4805 5.46726
29.5 6.3004 6.2862
31.5 7.1733 7.15704
33.5 8.0998 8.07978
35.5 9.08 9.05442
37.5 10.1147 10.081
39.5 11.2036 11.1594
41.5 12.3466 12.2898
43.5 13.5441 13.4721
45.5 14.7911 14.7063
TSD3
I   E(EXP)  E(TH)   
16.5 2.1237 2.0378
18.5 2.6293 2.58119
20.5 3.1973 3.17544
22.5 3.8243 3.82071
24.5 4.5094 4.51713
26.5 5.2506 5.2648
28.5 6.0465 6.06381
30.5 6.8963 6.91424
32.5 7.7988 7.81614
34.5 8.7546 8.76956
36.5 9.7638 9.77456
38.5 10.8268 10.8312
40.5 11.9392 11.9394
42.5 13.0861 13.0993
TSD4
