_________________________________
ℐ₁ : ℐ₂ : ℐ₃ | 71:11:11
V=3.6
𝛾=15
_________________________________
### RMS=0.282111 [keV] ###
_________________________________
TSD1
I   E(EXP)  E(TH)
8.5 0.1966 0.209459
10.5 0.4597 0.475656
12.5 0.7746 0.798507
14.5 1.1609 1.17794
16.5 1.6112 1.61391
18.5 2.1265 2.10638
20.5 2.7051 2.6553
22.5 3.3441 3.26065
24.5 4.0411 3.92242
26.5 4.7937 4.64058
28.5 5.5992 5.41512
30.5 6.457 6.24603
32.5 7.3667 7.1333
34.5 8.3293 8.07693
36.5 9.3458 9.0769
38.5 10.4169 10.1332
40.5 11.5431 11.2459
42.5 12.7224 12.4148
44.5 13.9491 13.6402
46.5 15.2181 14.9218
48.5 16.5221 16.2598
TSD2
I   E(EXP)  E(TH)
13.5 1.3394 0.981155
15.5 1.7467 1.38886
17.5 2.2184 1.85308
19.5 2.7527 2.37378
21.5 3.3484 2.95092
23.5 4.003 3.58448
25.5 4.7143 4.27445
27.5 5.4805 5.0208
29.5 6.3004 5.82353
31.5 7.1733 6.68262
33.5 8.0998 7.59807
35.5 9.08 8.56987
37.5 10.1147 9.59801
39.5 11.2036 10.6825
41.5 12.3466 11.8233
43.5 13.5441 13.0205
45.5 14.7911 14.2739
TSD3
I   E(EXP)  E(TH)
16.5 2.1237 2.06382
18.5 2.6293 2.59629
20.5 3.1973 3.18274
22.5 3.8243 3.82326
24.5 4.5094 4.51796
26.5 5.2506 5.26698
28.5 6.0465 6.07042
30.5 6.8963 6.92842
32.5 7.7988 7.8411
34.5 8.7546 8.80858
36.5 9.7638 9.83096
38.5 10.8268 10.9083
40.5 11.9392 12.0408
42.5 13.0861 13.2285
TSD4
I  E(EXP) | E(TH) [1,0]
23.5 4.58 4.16383
25.5 5.2251 4.88567
27.5 5.9273 5.66189
29.5 6.6819 6.4926
31.5 7.4919 7.37792
33.5 8.3573 8.31799
35.5 9.2778 9.3129
37.5 10.2535 10.3628
39.5 11.2851 11.4677
41.5 12.3701 12.6278
