Evolution of the H_min function from the excitation energy with respect to the total angular momentum I
I_1=73.0   |   I_2=68.0   |   I_3=3.0
V=8.1
gamma=15.0
**********************************
I      H_min(I)
6.5   -8.032976433197263
7.5   -7.9391173142072
8.5   -7.831559565080152
9.5   -7.710303185816118
10.5   -7.575348176415098
11.5   -7.426694536877091
12.5   -7.264342267202098
13.5   -7.088291367390117
14.5   -6.898541837441152
15.5   -6.6950936773551994
16.5   -6.477946887132261
17.5   -6.247101466772337
18.5   -6.002557416275425
19.5   -5.744314735641527
20.5   -5.472373424870645
21.5   -5.186733483962774
22.5   -4.887394912917918
23.5   -4.574357711736075
24.5   -4.247621880417246
25.5   -3.9071874189614313
26.5   -3.5530543273686295
27.5   -3.1852226056388417
28.5   -2.803692253772068
29.5   -2.4084632717683077
30.5   -1.9995356596275613
31.5   -1.5769094173498281
32.5   -1.140584544935109
33.5   -0.6905610423834023
34.5   -0.22683890969471143
35.5   0.25058185313096715
36.5   0.7417012460936316
37.5   1.246519269193282
38.5   1.7650359224299184
39.5   2.2972512058035424
40.5   2.8431651193141523
41.5   3.402777662961748
42.5   3.9760888367463316
43.5   4.563098640667901
44.5   5.163807074726455
45.5   5.778214138921994
46.5   6.406319833254523
47.5   7.048124157724038
